"LOCATION","Country","VAR","Variable","ISIC4","ISIC4","SRC","Source","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","CZK","Czech Koruna","6","Millions",,,0.935,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","CZK","Czech Koruna","6","Millions",,,1.154,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","CZK","Czech Koruna","6","Millions",,,1.182,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","CZK","Czech Koruna","6","Millions",,,0.984,,
"CZE","Czech Republic","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","CZK","Czech Koruna","6","Millions",,,0.938,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","DKK","Danish Krone","6","Millions",,,15.046,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","DKK","Danish Krone","6","Millions",,,13.962,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","DKK","Danish Krone","6","Millions",,,15.303,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","DKK","Danish Krone","6","Millions",,,17.919,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","DKK","Danish Krone","6","Millions",,,10.546,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","DKK","Danish Krone","6","Millions",,,12.447,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","DKK","Danish Krone","6","Millions",,,9.675,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","DKK","Danish Krone","6","Millions",,,7.923,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","DKK","Danish Krone","6","Millions",,,9.318,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","DKK","Danish Krone","6","Millions",,,7.145,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","DKK","Danish Krone","6","Millions",,,7.878,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","DKK","Danish Krone","6","Millions",,,5.137,"B","Break"
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","DKK","Danish Krone","6","Millions",,,3.819,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","DKK","Danish Krone","6","Millions",,,14.576,,
"DNK","Denmark","VAPE","Labour productivity, national currency","05_09","Mining and quarrying","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","DKK","Danish Krone","6","Millions",,,3.864,,
