"LOCATION","Country","IND","Variable","SEC","ISIC4","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,15.5,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,8.9,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,10.4,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,8.8,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2017","2017","PC","Percentage","0","Units",,,9,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2018","2018","PC","Percentage","0","Units",,,8.6,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2019","2019","PC","Percentage","0","Units",,,9.3,,
"ROU","Romania","B_R","Birth rate of all enterprises","45_47","Wholesale and retail trade; repair of motor vehicles and motorcycles","TOTAL","Total","2020","2020","PC","Percentage","0","Units",,,8.8,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,14.3,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,14.1,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,17.4,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,14,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,11.7,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,12,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,11.7,,
"LUX","Luxembourg","B_R","Birth rate of all enterprises","85","Education","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,11,,
